City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hilo,19.7297,-155.09,69.8,78,1,6.91,US,1610090621
Mareeba,-17.0,145.4333,86.0,79,75,4.61,AU,1610090246
Cabo San Lucas,22.8909,-109.9124,61.0,68,0,1.01,MX,1610090457
Saskylakh,71.9167,114.0833,-25.15,85,99,6.76,RU,1610090151
Cross Lanes,38.4204,-81.7907,35.01,80,90,6.91,US,1610090458
East London,-33.0153,27.9116,73.4,78,20,17.27,ZA,1610090190
Hobart,-42.8794,147.3294,69.01,63,20,17.27,AU,1610089986
Gasa,31.5,34.4667,66.99,35,0,1.99,PS,1610090458
Cape Town,-33.9258,18.4232,75.0,53,0,18.41,ZA,1610090281
Awjilah,29.1081,21.2869,61.61,48,14,1.86,LY,1610090459
Saint-Philippe,-21.3585,55.7679,84.2,58,0,27.63,RE,1610090078
Zeerust,-25.5369,26.0751,73.4,73,75,10.36,ZA,1610090459
Dikson,73.5069,80.5464,-2.58,92,100,15.37,RU,1610090075
Provideniya,64.3833,-173.3,-8.19,82,0,4.14,RU,1610090089
Saint-Augustin,51.226,-58.6502,41.25,86,100,21.63,CA,1610090193
Marquette,46.5333,-87.6335,28.99,82,100,4.03,US,1610090460
Tuktoyaktuk,69.4541,-133.0374,-7.6,77,1,6.91,CA,1610090119
Butaritari,3.0707,172.7902,81.16,83,23,20.04,KI,1610090669
Nikolskoye,59.7035,30.7861,24.8,86,75,6.71,RU,1610090085
Baiao,-2.7906,-49.6717,72.57,98,95,0.56,BR,1610090461
Jamestown,42.097,-79.2353,25.0,93,90,4.61,US,1610090648
Tahoua,14.8888,5.2692,71.6,17,0,6.91,NE,1610090461
Tuy Hoa,13.0833,109.3,74.3,86,95,17.18,VN,1610090461
Ostrovnoy,68.0531,39.5131,8.29,94,5,7.74,RU,1610090092
Colon,9.3592,-79.9014,77.0,81,80,8.01,PA,1610090462
Bakchar,57.0186,82.0711,-4.86,89,100,3.2,RU,1610090462
Ayan,56.45,138.1667,-14.85,75,96,6.93,RU,1610090194
Upernavik,72.7868,-56.1549,-3.77,91,12,9.17,GL,1610090086
Santiago,-33.4569,-70.6483,68.0,63,0,6.91,CL,1610090347
Terrace,54.5163,-128.6035,35.6,80,75,19.57,CA,1610090249
Freeport,40.6576,-73.5832,30.99,64,1,10.36,US,1610090464
Chernyshevskiy,63.0128,112.4714,4.19,94,100,9.57,RU,1610090464
Albany,42.6001,-73.9662,25.0,77,11,5.99,US,1610090386
Asfi,32.2994,-9.2372,62.37,87,100,21.59,MA,1610090132
Vaini,-21.2,-175.2,78.8,94,75,3.44,TO,1610090673
Katsuura,35.1333,140.3,46.99,28,50,8.01,JP,1610090673
Saint Anthony,45.0205,-93.218,21.0,93,90,1.7,US,1610090229
Barrow,71.2906,-156.7887,-7.6,77,90,2.77,US,1610090089
Briancon,44.9,6.65,23.0,64,0,2.73,FR,1610090465
Salekhard,66.53,66.6019,-17.46,87,86,10.16,RU,1610090465
Touros,-5.1989,-35.4608,77.0,83,20,5.75,BR,1610090177
Alta Floresta,-9.8756,-56.0861,72.3,85,100,1.12,BR,1610090466
Petropavlovsk-Kamchatskiy,53.0452,158.6483,1.4,71,40,6.71,RU,1610090466
Longyearbyen,78.2186,15.6401,37.4,56,40,12.66,SJ,1610090511
Aschersleben,51.75,11.4667,35.01,88,81,1.01,DE,1610090466
Hermanus,-34.4187,19.2345,72.0,68,100,3.0,ZA,1610090076
Mataura,-46.1927,168.8643,57.99,71,54,11.01,NZ,1610090078
Arraial Do Cabo,-22.9661,-42.0278,75.43,92,2,9.69,BR,1610090467
Waingapu,-9.6567,120.2641,85.08,70,95,4.88,ID,1610090083
Sur,22.5667,59.5289,68.16,42,0,23.62,OM,1610090468
Bredasdorp,-34.5322,20.0403,73.4,53,88,8.05,ZA,1610090129
Verkhnevilyuysk,63.4453,120.3167,-7.04,91,100,0.29,RU,1610090308
